"","Drawing_ID","Conventionality"
"1","Chain_20_Gen_6_Cond_2_Source_1",7
"2","Chain_0_Gen_3_Cond_2_Source_8",5
"3","Chain_19_Gen_5_Cond_2_Source_2",7
"4","Chain_5_Gen_1_Cond_2_Source_8",7
"5","Chain_14_Gen_3_Cond_2_Source_12",7
"6","Chain_12_Gen_4_Cond_2_Source_5",8
"7","Chain_16_Gen_0_Cond_2_Source_1",6
"8","Chain_22_Gen_5_Cond_2_Source_2",7
"9","Chain_7_Gen_2_Cond_2_Source_9",6
"10","Chain_3_Gen_2_Cond_2_Source_1",7
"11","Chain_4_Gen_5_Cond_2_Source_11",6
"12","Chain_15_Gen_0_Cond_2_Source_5",7
"13","Chain_21_Gen_4_Cond_2_Source_6",8
"14","Chain_7_Gen_1_Cond_2_Source_9",6
"15","Chain_17_Gen_2_Cond_2_Source_5",6
"16","Chain_9_Gen_0_Cond_2_Source_11",5
"17","Chain_4_Gen_3_Cond_2_Source_11",7
"18","Chain_20_Gen_2_Cond_2_Source_1",6
"19","Chain_3_Gen_1_Cond_2_Source_1",7
"20","Chain_20_Gen_3_Cond_2_Source_1",7
"21","Chain_23_Gen_0_Cond_2_Source_11",7
"22","Chain_15_Gen_5_Cond_2_Source_5",7
"23","Chain_9_Gen_6_Cond_2_Source_11",7
"24","Chain_15_Gen_1_Cond_2_Source_5",8
"25","Chain_14_Gen_2_Cond_2_Source_12",8
"26","Chain_4_Gen_0_Cond_2_Source_11",6
"27","Chain_21_Gen_3_Cond_2_Source_6",6
"28","Chain_8_Gen_1_Cond_2_Source_5",6
"29","Chain_12_Gen_0_Cond_2_Source_5",6
"30","Chain_7_Gen_6_Cond_2_Source_9",8
"31","Chain_22_Gen_1_Cond_2_Source_2",8
"32","Chain_0_Gen_5_Cond_2_Source_8",6
"33","Chain_8_Gen_5_Cond_2_Source_5",6
"34","Chain_8_Gen_4_Cond_2_Source_5",5
"35","Chain_4_Gen_1_Cond_2_Source_11",8
"36","Chain_14_Gen_5_Cond_2_Source_12",7
"37","Chain_7_Gen_5_Cond_2_Source_9",8
"38","Chain_9_Gen_2_Cond_2_Source_11",6
"39","Chain_9_Gen_5_Cond_2_Source_11",5
"40","Chain_19_Gen_4_Cond_2_Source_2",6
"41","Chain_18_Gen_0_Cond_2_Source_1",6
"42","Chain_18_Gen_1_Cond_2_Source_1",7
"43","Chain_8_Gen_6_Cond_2_Source_5",7
"44","Chain_3_Gen_6_Cond_2_Source_1",7
"45","Chain_15_Gen_4_Cond_2_Source_5",7
"46","Chain_16_Gen_2_Cond_2_Source_1",7
"47","Chain_19_Gen_6_Cond_2_Source_2",7
"48","Chain_18_Gen_2_Cond_2_Source_1",8
"49","Chain_19_Gen_3_Cond_2_Source_2",7
"50","Chain_20_Gen_4_Cond_2_Source_1",7
"51","Chain_2_Gen_2_Cond_2_Source_3",7
"52","Chain_23_Gen_6_Cond_2_Source_11",7
"53","Chain_2_Gen_4_Cond_2_Source_3",7
"54","Chain_2_Gen_1_Cond_2_Source_3",7
"55","Chain_2_Gen_3_Cond_2_Source_3",7
"56","Chain_21_Gen_1_Cond_2_Source_6",8
"57","Chain_16_Gen_5_Cond_2_Source_1",6
"58","Chain_8_Gen_0_Cond_2_Source_5",6
"59","Chain_21_Gen_0_Cond_2_Source_6",6
"60","Chain_15_Gen_2_Cond_2_Source_5",6
"61","Chain_12_Gen_5_Cond_2_Source_5",7
"62","Chain_2_Gen_0_Cond_2_Source_3",7
"63","Chain_5_Gen_0_Cond_2_Source_8",7
"64","Chain_12_Gen_1_Cond_2_Source_5",5
"65","Chain_20_Gen_1_Cond_2_Source_1",7
"66","Chain_4_Gen_4_Cond_2_Source_11",7
"67","Chain_0_Gen_0_Cond_2_Source_8",7
"68","Chain_12_Gen_3_Cond_2_Source_5",8
"69","Chain_22_Gen_3_Cond_2_Source_2",6
"70","Chain_16_Gen_4_Cond_2_Source_1",6
"71","Chain_7_Gen_0_Cond_2_Source_9",6
"72","Chain_18_Gen_5_Cond_2_Source_1",6
"73","Chain_18_Gen_6_Cond_2_Source_1",6
"74","Chain_22_Gen_4_Cond_2_Source_2",6
"75","Chain_18_Gen_4_Cond_2_Source_1",6
