"","Subject","Chain","Generation","Condition","Source_image","files.image.path","Drawing_ID"
"1","0w04fhc07t2hlyu",0,0,1,7,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_1_stim_1.png","Chain_0_Gen_0_Cond_1_Source_7"
"2","0w04fhc07t2hlyu",0,0,1,1,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_1_stim_2.png","Chain_0_Gen_0_Cond_1_Source_1"
"3","0w04fhc07t2hlyu",0,0,1,5,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_1_stim_3.png","Chain_0_Gen_0_Cond_1_Source_5"
"4","0w04fhc07t2hlyu",0,0,2,8,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_2_stim_1.png","Chain_0_Gen_0_Cond_2_Source_8"
"5","0w04fhc07t2hlyu",0,0,2,6,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_2_stim_2.png","Chain_0_Gen_0_Cond_2_Source_6"
"6","0w04fhc07t2hlyu",0,0,2,3,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_2_stim_3.png","Chain_0_Gen_0_Cond_2_Source_3"
"7","0w04fhc07t2hlyu",0,0,3,12,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_3_stim_1.png","Chain_0_Gen_0_Cond_3_Source_12"
"8","0w04fhc07t2hlyu",0,0,3,4,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_3_stim_2.png","Chain_0_Gen_0_Cond_3_Source_4"
"9","0w04fhc07t2hlyu",0,0,3,9,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_3_stim_3.png","Chain_0_Gen_0_Cond_3_Source_9"
"10","0w04fhc07t2hlyu",0,0,4,11,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_4_stim_1.png","Chain_0_Gen_0_Cond_4_Source_11"
"11","0w04fhc07t2hlyu",0,0,4,2,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_4_stim_2.png","Chain_0_Gen_0_Cond_4_Source_2"
"12","0w04fhc07t2hlyu",0,0,4,10,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/0/cond_4_stim_3.png","Chain_0_Gen_0_Cond_4_Source_10"
"13","qgrd87a8tp1o9sq",0,1,1,7,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/1/cond_1_stim_1.png","Chain_0_Gen_1_Cond_1_Source_7"
"14","qgrd87a8tp1o9sq",0,1,1,1,"/experiments/VY53sLXHyJ6H/0G5z021ZWZdA/0/1/cond_1_stim_2.png","Chain_0_Gen_1_Cond_1_Source_1"
